homelat,homelon,homecontinent,n
33.0,65.0,Europe,299
41.1533,20.1683,Europe,333
28.0339,1.6596,Europe,1251
42.5063,1.5218,Europe,466
-11.2027,17.8739,Europe,10
17.0608,-61.7964,Europe,15
-38.4161,-63.6167,Europe,1451
40.0691,45.0382,Europe,770
-35.4735,149.0124,Europe,93
-33.8688,151.2093,Europe,2493
-12.4634,130.8456,Europe,26
-28.0167,153.4,Europe,900
-34.9285,138.6007,Europe,407
-41.4545,145.9707,Europe,80
-37.8136,144.9631,Europe,1115
-31.9505,115.8605,Europe,436
47.5162,14.5501,Europe,11781
40.1431,47.5769,Europe,521
25.0343,-77.3963,Europe,28
26.0275,50.55,Europe,688
23.685,90.3563,Europe,70
13.1939,-59.5432,Europe,52
53.7098,27.9534,Europe,440
50.8333,4.0,Europe,18431
9.3077,2.3158,Europe,16
27.5142,90.4336,Europe,5
-16.2902,-63.5887,Europe,139
43.9159,17.6791,Europe,624
-14.235,-51.9253,Europe,10360
4.5353,114.7277,Europe,135
42.7339,25.4858,Europe,503
12.2383,-1.5616,Europe,318
16.5388,-23.0418,Europe,7
11.55,104.9167,Europe,114
3.8480000000000003,11.5021,Europe,555
53.9333,-116.5765,Europe,1075
49.2827,-123.1207,Europe,1203
37.6489,-122.6655,Europe,13
53.7609,-98.8139,Europe,182
46.5653,-66.4619,Europe,91
53.1355,-57.6604,Europe,195
44.681999999999995,-63.7443,Europe,236
51.2538,-85.3232,Europe,3630
46.5107,-63.4168,Europe,22
52.9399,-73.5491,Europe,6101
52.9399,-106.4509,Europe,220
6.6111,20.9394,Europe,8
15.4542,18.7322,Europe,9
-35.6751,-71.543,Europe,4161
31.8257,117.2264,Europe,990
40.1824,116.4142,Europe,585
30.0572,107.874,Europe,579
26.0789,117.9874,Europe,350
37.8099,101.0583,Europe,138
23.3417,113.4244,Europe,1516
23.8298,108.7881,Europe,254
26.8154,106.8748,Europe,146
19.1959,109.7453,Europe,168
39.549,116.1306,Europe,326
47.861999999999995,127.7615,Europe,491
33.882,113.61399999999999,Europe,1276
22.3,114.2,Europe,862
30.9756,112.2707,Europe,67803
27.6104,111.7088,Europe,1019
44.0935,113.9448,Europe,117
32.9711,119.455,Europe,651
27.614,115.7221,Europe,937
43.6661,126.1923,Europe,98
41.2956,122.6085,Europe,141
22.1667,113.55,Europe,43
37.2692,106.1655,Europe,75
35.7452,95.9956,Europe,18
35.1917,108.8701,Europe,256
36.3427,118.1498,Europe,778
31.201999999999998,121.4491,Europe,529
37.5777,112.2922,Europe,137
30.6171,102.7103,Europe,557
39.3054,117.323,Europe,180
31.6927,88.0924,Europe,1
41.1129,85.2401,Europe,76
24.974,101.48700000000001,Europe,184
29.1832,120.0934,Europe,1262
